Time,REAL_DATA,TELE_DATA
530,221,218
531,221,218
532,221,218
533,223,220
534,223,220
535,221,218
536,222,218
537,221,218
538,221,218
539,223,220
540,221,218
541,223,220
542,221,218
543,223,220
544,221,218
545,223,220
546,221,218
547,222,219
548,221,218
549,221,218
550,223,220
551,222,219
552,222,218
553,223,220
554,221,218
555,223,220
556,223,220
557,223,220
558,223,220
559,222,219
560,223,220
561,221,218
562,221,218
563,221,218
564,221,218
565,223,220
566,223,220
567,223,220
568,223,220
569,221,218
570,222,218
571,221,218
572,221,218
573,221,218
574,223,220
575,223,220
576,223,220
577,222,218
578,221,218
579,223,220
580,221,218
581,221,218
582,221,218
583,222,218
584,223,220
585,223,220
586,223,220
587,221,218
588,223,220
589,223,220
590,222,218
591,223,220
592,221,218
593,221,218
594,223,220
595,223,220
596,223,220
597,221,218
598,221,218
599,221,218
600,222,219
601,221,218
602,221,218
603,223,220
604,223,220
605,223,220
606,222,218
607,223,220
608,221,218
609,222,218
610,223,220
611,223,220
612,223,220
613,223,220
614,221,218
615,221,218
616,222,218
617,223,220
618,223,220
619,221,218
620,221,218
621,221,218
622,223,220
623,223,220
624,223,220
625,223,220
626,222,218
627,223,220
628,223,220
629,222,218
630,221,218
631,221,218
632,221,218
633,221,218
634,223,220
635,223,220
636,221,218
637,221,218
638,223,220
639,223,220
640,222,218
641,222,218
642,223,220
643,223,220
644,223,220
645,223,220
646,221,218
647,223,220
648,221,218
649,222,219
650,221,218
651,222,219
652,221,218
653,221,218
654,221,218
655,221,218
656,222,218
657,221,218
658,223,220
659,222,218
660,222,219
661,221,218
662,223,220
663,222,218
664,223,220
665,222,219
666,223,220
667,222,218
668,222,219
669,223,220
670,223,220
671,221,218
672,221,218
673,223,220
674,222,219
675,221,218
676,223,220
677,221,218
678,221,218
679,223,220
680,221,218
681,221,218
682,223,220
683,223,220
684,223,220
685,223,220
686,223,220
687,223,220
688,221,218
689,222,218
690,223,220
691,221,218
692,223,220
693,222,219
694,223,220
695,223,220
696,221,218
697,221,218
698,223,220
699,222,218
700,223,220
701,223,220
702,223,220
703,222,218
704,223,220
705,223,220
706,221,218
707,223,220
708,223,220
709,223,220
710,221,218
711,223,220
712,222,218
713,222,218
714,221,218
715,222,218
716,223,220
717,223,220
718,221,218
719,221,218
720,221,218
721,221,218
722,222,218
723,223,220
724,221,218
725,223,220
726,222,219
727,223,220
728,222,218
729,221,218
730,222,218
731,221,218
732,222,218
733,223,220
734,222,219
735,222,219
736,223,220
737,223,220
738,221,218
739,222,218
740,223,220
741,221,218
742,223,220
743,223,220
744,223,220
745,221,218
746,223,220
747,223,220
748,222,218
749,221,218
750,223,220
751,222,219
752,223,220
753,221,218
754,221,218
755,223,220
756,221,218
757,223,220
758,221,218
759,223,220
760,222,219
761,223,220
762,221,218
763,221,218
764,223,220
765,221,218
766,223,220
767,223,220
768,221,218
769,221,218
770,221,218
771,223,220
772,223,220
773,223,220
774,222,219
775,223,220
776,223,220
777,221,218
778,223,220
779,223,220
780,223,220
781,222,218
782,221,218
783,223,220
784,221,218
785,223,220
786,223,220
787,221,218
788,222,219
789,221,218
790,223,220
791,222,218
792,223,220
793,222,218
794,223,220
795,223,220
796,223,220
797,223,220
798,221,218
799,221,218
800,221,218
801,222,218
802,223,220
803,223,220
804,221,218
805,223,220
806,223,220
807,222,218
808,223,220
809,221,218
810,223,220
811,223,220
812,221,218
813,222,218
814,221,218
815,222,218
816,221,218
817,221,218
818,223,220
819,223,220
820,222,218
821,223,220
822,222,218
823,221,218
824,221,218
825,221,218
826,221,218
827,223,220
828,223,220
829,223,220
830,221,218
831,221,218
832,223,220
833,222,218
834,222,218
835,223,220
836,221,218
837,223,220
838,223,220
839,223,220
840,223,220
841,223,220
842,223,220
843,221,218
844,223,220
845,223,220
846,223,220
847,220,218
848,221,218
849,223,220
850,222,218
851,221,218
852,222,218
853,222,219
854,221,218
855,222,218
856,222,219
857,222,218
858,221,218
859,221,218
860,221,218
861,221,218
862,223,220
863,221,218
864,222,218
865,222,218
866,223,220
867,223,220
868,221,218
869,223,220
870,223,220
871,221,218
872,223,220
873,223,220
874,223,220
875,221,218
876,223,220
877,223,220
878,222,218
879,223,220
880,223,220
881,222,218
882,222,219
883,223,220
884,222,219
885,223,220
886,221,218
887,221,218
888,223,220
889,223,220
890,223,220
891,223,220
892,222,218
893,222,219
894,223,220
895,223,220
896,221,218
897,223,220
898,222,218
899,221,218
900,222,219
901,223,220
902,223,220
903,222,218
904,223,220
905,223,220
906,223,220
907,221,218
908,221,218
909,223,220
910,223,220
911,223,220
912,222,218
913,223,220
914,222,218
915,223,220
916,220,218
917,221,218
918,223,220
919,221,218
920,221,218
921,221,218
922,222,218
923,223,220
924,221,218
925,222,219
926,223,220
927,222,218
928,222,218
929,221,218
930,222,219
931,221,218
932,221,218
933,222,219
934,222,218
935,223,220
936,222,218
937,223,220
938,221,218
939,221,218
940,222,218
941,223,220
942,223,220
943,222,218
944,223,220
945,221,218
946,223,220
947,223,220
948,222,218
949,222,219
950,221,218
951,223,220
952,222,218
953,223,220
954,221,218
955,223,220
956,222,218
957,221,218
958,221,218
959,223,220
960,223,220
961,223,220
962,222,218
963,221,218
964,222,218
965,223,220
966,223,220
967,221,218
968,223,220
969,221,218
970,223,220
971,223,220
972,223,220
973,223,220
974,223,220
975,223,220
976,221,218
977,222,219
978,222,218
979,221,218
980,223,220
981,223,220
982,223,220
983,223,220
984,221,218
985,221,218
986,223,220
987,223,220
988,223,220
989,223,220
990,221,218
991,221,218
992,223,220
993,223,220
994,221,218
995,223,220
996,221,218
997,222,218
998,223,220
999,223,220
1000,223,220
1001,221,218
1002,222,218
1003,221,218
1004,221,218
1005,221,218
1006,223,220
1007,223,220
1008,221,218
1009,221,218
1010,223,220
1011,222,218
1012,222,218
1013,221,218
1014,221,218
1015,221,218
1016,221,218
1017,223,220
1018,221,218
1019,221,218
1020,222,218
1021,223,220
1022,223,220
1023,221,218
1024,223,220
1025,221,218
1026,222,219
1027,223,220
1028,223,220
1029,221,218
1030,221,218
1031,222,218
1032,221,218
1033,223,220
1034,223,220
1035,221,218
1036,223,220
1037,223,220
1038,223,220
1039,220,218
1040,223,220
1041,223,220
1042,223,220
1043,223,220
1044,223,220
1045,222,219
1046,221,219
1047,221,218
1048,218,215
1049,218,215
1050,218,215
1051,220,216
1052,218,215
1053,218,216
1054,221,218
1055,218,215
1056,217,214
1057,221,217
1058,218,215
1059,219,217
1060,217,214
1061,217,214
1062,217,214
1063,219,217
1064,219,217
1065,217,214
1066,219,216
1067,219,217
1068,218,215
1069,218,216
1070,218,215
1071,217,214
1072,218,214
1073,218,216
1074,217,214
1075,218,216
1076,218,214
1077,218,215
1078,219,217
1079,217,214
1080,219,216
1081,217,214
1082,219,216
1083,216,214
1084,218,214
1085,218,214
1086,219,216
1087,219,216
1088,216,214
1089,219,216
1090,218,214
1091,218,215
1092,218,215
1093,217,214
1094,217,214
1095,218,215
1096,218,214
1097,218,215
1098,216,214
1099,217,214
1100,218,215
1101,218,215
1102,219,216
1103,218,215
1104,217,214
1105,218,215
1106,217,214
1107,218,215
1108,216,214
1109,218,214
1110,218,215
1111,218,215
1112,218,215
1113,217,214
1114,217,214
1115,218,215
1116,219,216
1117,217,214
1118,216,214
1119,219,216
1120,218,215
1121,217,214
1122,218,215
1123,219,216
1124,218,214
1125,216,214
1126,219,216
1127,218,215
1128,216,214
1129,216,214
1130,219,216
1131,218,216
1132,218,214
1133,217,214
1134,218,215
1135,219,216
1136,218,215
1137,216,214
1138,219,216
1139,219,217
1140,218,215
1141,218,215
1142,216,214
1143,219,216
1144,217,214
1145,218,216
1146,218,215
1147,218,215
1148,216,213
1149,218,215
1150,216,214
1151,218,214
1152,217,214
1153,216,214
1154,216,214
1155,216,214
1156,218,214
1157,217,214
1158,218,214
1159,218,214
1160,216,214
1161,218,214
1162,216,214
1163,217,214
1164,217,214
1165,216,214
1166,218,215
1167,218,216
1168,218,215
1169,218,214
1170,217,214
1171,219,216
1172,218,214
1173,217,214
1174,218,216
1175,219,216
1176,217,214
1177,218,214
1178,217,214
1179,218,217
1180,218,217
1181,218,216
1182,218,216
1183,219,217
1184,219,217
1185,218,215
1186,218,215
1187,219,217
1188,218,215
1189,219,217
1190,217,214
1191,219,218
1192,218,215
1193,218,215
1194,221,218
1195,217,214
1196,219,216
1197,220,216
1198,221,218
1199,221,218
1200,222,219
1201,218,216
1202,220,217
1203,222,218
1204,219,217
1205,220,218
1206,223,220
1207,220,218
1208,220,218
1209,223,220
1210,221,218
1211,220,218
1212,223,220
1213,221,218
1214,221,218
1215,223,220
1216,221,218
1217,221,218
1218,221,218
1219,223,220
1220,222,219
1221,223,220
1222,221,218
1223,223,220
1224,223,220
1225,222,219
1226,223,220
1227,223,220
1228,223,220
1229,223,220
1230,223,220
1231,223,220
1232,223,220
1233,223,220
1234,223,220
1235,223,220
1236,223,220
1237,222,219
1238,222,218
1239,223,220
1240,222,219
1241,221,218
1242,222,219
1243,221,218
1244,222,218
1245,221,218
1246,221,218
1247,223,220
1248,221,218
1249,222,218
1250,220,218
1251,223,220
1252,221,218
1253,223,220
1254,223,220
1255,223,220
1256,223,220
1257,221,218
1258,221,218
1259,221,218
1260,222,218
1261,221,218
1262,221,218
1263,221,218
1264,223,220
1265,222,218
1266,223,220
1267,221,218
1268,221,218
1269,223,220
1270,223,220
1271,223,220
1272,222,218
1273,222,219
1274,222,219
1275,221,218
1276,223,220
1277,222,218
1278,221,218
1279,221,218
1280,223,220
1281,223,220
1282,223,220
1283,221,218
1284,221,218
1285,223,220
1286,223,220
1287,223,220
1288,223,220
1289,221,218
1290,221,218
1291,223,220
1292,222,218
1293,223,220
1294,221,218
1295,221,218
1296,221,219
1297,223,220
1298,223,220
1299,223,220
1300,221,218
1301,223,220
1302,221,218
1303,221,218
1304,222,219
1305,221,218
1306,223,220
1307,222,218
1308,223,220
1309,222,218
1310,221,218
1311,222,218
1312,223,220
1313,221,218
1314,223,220
1315,223,220
1316,222,219
1317,221,218
1318,223,220
1319,222,218
1320,221,218
1321,223,220
1322,222,218
1323,223,220
1324,221,218
1325,221,218
1326,222,218
1327,223,220
1328,222,218
1329,221,218
1330,223,220
1331,222,218
1332,223,220
1333,222,219
1334,223,220
1335,222,218
1336,221,218
1337,222,218
1338,221,218
1339,223,220
